Title,Link,Website,Emails,Phone Numbers,Social Media Links,Stars,Reviews,Phone
MZM Legal,https://www.google.com/maps/place/MZM+Legal/data=!4m7!3m6!1s0x3be7d1daffffffff:0x70df5ec6f65970bc!8m2!3d18.9286644!4d72.8333153!16s%2Fg%2F1thg8y0z!19sChIJ_____9rR5zsRvHBZ9sZe33A?authuser=0&hl=en&rclk=1,http://www.mzmlegal.com/,lawyers@mzmlegal.com,"400001, +91-22-22643333, 110001, +91-011-40040208",,4.6,77,+91 22 2264 333
Talwar Thakore & Associates,https://www.google.com/maps/place/Talwar+Thakore+%26+Associates/data=!4m7!3m6!1s0x3be7d1c30dcfffff:0xb411f8b947402821!8m2!3d18.92905!4d72.8320232!16s%2Fg%2F11h9vntc28!19sChIJ___PDcPR5zsRIShAR7n4EbQ?authuser=0&hl=en&rclk=1,https://tta.in/,,,,4.5,17,+91 22 6613 690
Selvam and Selvam,https://www.google.com/maps/place/Selvam+and+Selvam/data=!4m7!3m6!1s0x3a52667fe823c0ef:0x42c1783814a45902!8m2!3d13.0793004!4d80.2329311!16s%2Fg%2F11b6_hljrr!19sChIJ78Aj6H9mUjoRAlmkFDh4wUI?authuser=0&hl=en&rclk=1,https://selvams.com/,,,"https://www.linkedin.com/company/selvamsip, https://www.twitter.com/selvamsip, https://www.instagram.com/selvamsip",4.5,73,+91 44 4353 250
K Singhania & Co,https://www.google.com/maps/place/K+Singhania+%26+Co/data=!4m7!3m6!1s0x3be7d1e96fffffff:0x66f3361a7cffd3c6!8m2!3d18.9253136!4d72.8222376!16s%2Fg%2F1tf00ysw!19sChIJ____b-nR5zsRxtP_fBo282Y?authuser=0&hl=en&rclk=1,https://www.singhanialaw.com/,,,,4.4,11,+91 22 2202 032
Kaleeyantey Law Firm,https://www.google.com/maps/place/Kaleeyantey+Law+Firm/data=!4m7!3m6!1s0x3be7d1503c2e79cf:0x91eb670484e3e9d!8m2!3d18.9359463!4d72.8330382!16s%2Fg%2F11hz77mc7x!19sChIJz3kuPFDR5zsRnT5OSHC2Hgk?authuser=0&hl=en&rclk=1,https://www.kaleeyantey.com/,"info@kaleeyantey.com, info@kaleeyantey.com, info@kaleeyantey.com, info@kaleeyantey.com","+91 91670 04264, 9167 004 264, 400001, 2207 4336, +91 91670 04264, 400614, 022-41207937, +91 9987517492, 400703, 022-41207937, +91 9987517492","https://www.facebook.com/kaleeyantey/, https://www.facebook.com/kaleeyantey/, https://www.linkedin.com/company/kaleeyantey-law-firm/, https://www.instagram.com/kaleeyantey/",5.0,73,+91 91670 04264
Prime Legal India LLP,https://www.google.com/maps/place/Prime+Legal+India+LLP/data=!4m7!3m6!1s0x390ce24e21593bf1:0x724a005e407abf2e!8m2!3d28.5695785!4d77.234201!16s%2Fg%2F11cn7j9pzk!19sChIJ8TtZIU7iDDkRLr96QF4ASnI?authuser=0&hl=en&rclk=1,http://www.primelegalindia.com/,,,http://www.facebook.com/2008/fbml,4.5,26,+91 11 4104 634
"Lex Indis, Law Offices","https://www.google.com/maps/place/Lex+Indis,+Law+Offices/data=!4m7!3m6!1s0x390d1da689844637:0x79596eeda00e1d3a!8m2!3d28.567619!4d77.1630801!16s%2Fg%2F11b7cf33bb!19sChIJN0aEiaYdDTkROh0OoO1uWXk?authuser=0&hl=en&rclk=1",https://lexindis.com/,,,,4.7,36,+91 78278 04441
"Pan India Advocate & Associates® (Advocates, Lawyers in Mumbai)","https://www.google.com/maps/place/Pan+India+Advocate+%26+Associates%C2%AE+%28Advocates,+Lawyers+in+Mumbai%29/data=!4m7!3m6!1s0x3be7c90686d58b23:0x263619b5a853e9b9!8m2!3d19.1188908!4d72.8503489!16s%2Fg%2F11gjmtx6z7!19sChIJI4vVhgbJ5zsRuelTqLUZNiY?authuser=0&hl=en&rclk=1",https://www.panindiaadvocate.com/,"info@panindiaadvocate.comLawyerHow, info@panindiaadvocate.com","15562, +919833509486, 400093, +919833509486","https://twitter.com/panindiaadvocte, https://facebook.com/panindiaadvocate, https://www.instagram.com/panindiaadvocate, https://linkedin.com/in/panindiaadvocate",4.8,75,+91 98335 09486
Naik Naik & Co.,https://www.google.com/maps/place/Naik+Naik+%26+Co./data=!4m7!3m6!1s0x3be7d1eec807af1b:0x488326e35ec1059a!8m2!3d18.9249334!4d72.8247776!16s%2Fg%2F1tp25rk5!19sChIJG68HyO7R5zsRmgXBXuMmg0g?authuser=0&hl=en&rclk=1,https://naiknaik.com/,,,,4.5,20,+91 22 2285 465
LEX SOLVIS (Indian Law Firm),https://www.google.com/maps/place/LEX+SOLVIS+%28Indian+Law+Firm%29/data=!4m7!3m6!1s0x390cfd713a3226a3:0xe80ec6031dc531ab!8m2!3d28.6661286!4d77.2204584!16s%2Fg%2F11rd01zjvs!19sChIJoyYyOnH9DDkRqzHFHQPGDug?authuser=0&hl=en&rclk=1,http://lexsolvis.com/,"lexsolvis@gmail.com, info@lexsolvis.com, lexsolvis@gmail.com","+91-9999333701, 2021-22, 110054, +91-9999333701, 9999000772",,4.9,79,+91 99990 00772
Corpus Juris India,https://www.google.com/maps/place/Corpus+Juris+India/data=!4m7!3m6!1s0x390ce3aa01b8a60f:0xa83f0edf6246105c!8m2!3d28.5838805!4d77.2519123!16s%2Fg%2F11svw2ssjs!19sChIJD6a4AarjDDkRXBBGYt8OP6g?authuser=0&hl=en&rclk=1,http://www.corpusjurisindia.com/,"help@corpusjurisindia.com, chamber@corpusjurisindia.com, office@corpusjurisindia.com","+91 96500 82100, +91 11 3587 1534, 110014, 110003, +91 95823 88509, +91 11 4231 1734, 110014, +91 96500 82100, +91 11 3587 1534","https://twitter.com/KamleshMaithil, https://www.facebook.com/CJIINDIA/",4.9,42,+91 96500 82100
LEGALLANDS LLP | The Law Firm Delhi,https://www.google.com/maps/place/LEGALLANDS+LLP+%7C+The+Law+Firm+Delhi/data=!4m7!3m6!1s0x390ce256e4f06d3b:0x84a656775d1b997b!8m2!3d28.5668418!4d77.2313068!16s%2Fg%2F11f315lzpg!19sChIJO23w5FbiDDkRe5kbXXdWpoQ?authuser=0&hl=en&rclk=1,https://legallands.com/,"Connect@legallands.comContact, Connect@legallands.com, -Connect@legallands.com, -Connect@legallands.com","110024, 110087, 011-46045777, 011-46048777, 110024, 110024, 011-46045777, 011-46048777, 110024, +91 011-46045777, 011-46048777, 110024, 110024, 160062, +91 011-46045777, 011-46048777, 110087, 110087","https://www.facebook.com/LEGALLANDS, https://www.facebook.com/LEGALLANDS",5.0,40,+91 11 4604 577
Krishnamurthy & Co. / K Law,https://www.google.com/maps/place/Krishnamurthy+%26+Co.+%2F+K+Law/data=!4m7!3m6!1s0x3be7ce8d7c5f06bb:0xe04b4858bf403aaa!8m2!3d18.9997334!4d72.8254355!16s%2Fg%2F11gd1wj756!19sChIJuwZffI3O5zsRqjpAv1hIS-A?authuser=0&hl=en&rclk=1,http://www.klaw.in/,"info@klaw.in, mail@klaw.in","2017-18, +91 080 41757500, 560 001, +91 080 4175 7500",https://www.linkedin.com/feed/update/urn,4.2,20,+91 44 4214 295
Chadha & Chadha Intellectual Property Firm,https://www.google.com/maps/place/Chadha+%26+Chadha+Intellectual+Property+Firm/data=!4m7!3m6!1s0x390d193d1fdb1e2f:0x8ff40fff3c74ee22!8m2!3d28.4174087!4d77.0959894!16s%2Fg%2F11b7hy80d1!19sChIJLx7bHz0ZDTkRIu50PP8P9I8?authuser=0&hl=en&rclk=1,http://www.candcip.com/,"pageinfo@candcip.comAbout, info@candcip.com","12345, 121234510, 91-124, 668 8014, 122002","https://www.facebook.com/pg/chadhaandchadha, http://www.twitter.com/chadhaandchadha, https://www.linkedin.com/company/chadha-&amp",4.3,29,+91 124 668 8014
AKS Legal,https://www.google.com/maps/place/AKS+Legal/data=!4m7!3m6!1s0x3bae17b3fa843a05:0x1249abbcc133469b!8m2!3d13.0173061!4d77.5913356!16s%2Fg%2F11cp5sdv_m!19sChIJBTqE-rMXrjsRm0YzwbyrSRI?authuser=0&hl=en&rclk=1,Not found,,,,4.8,61,+91 80 2333 178
Kanga and Company,https://www.google.com/maps/place/Kanga+and+Company/data=!4m7!3m6!1s0x3be7d1daffffffff:0xdc5931ccfce3deb9!8m2!3d18.9321705!4d72.8323843!16s%2Fg%2F1thzmc4l!19sChIJ_____9rR5zsRud7j_MwxWdw?authuser=0&hl=en&rclk=1,http://www.kangacompany.com/,,,,4.2,106,+91 22 6633 228
OBHAN & ASSOCIATES,https://www.google.com/maps/place/OBHAN+%26+ASSOCIATES/data=!4m7!3m6!1s0x390ce2174f512127:0x1c69387b3f730761!8m2!3d28.5436844!4d77.2124889!16s%2Fg%2F11cm0c4fsk!19sChIJJyFRTxfiDDkRYQdzP3s4aRw?authuser=0&hl=en&rclk=1,http://www.obhanandassociates.com/,email@obhans.com,"1000 2024, 1000 2024, 1000 2024, 500 2024, 500 2024, 500 2023, 500 2023, 500 2022, 500 2022, 500 2021, 500 2021, 500 2020, 500 2020, 1000 2020, 1000 2020, 1000 2020, +91 11 40200200, +91 11 40200299",https://www.linkedin.com/company/obhanandassociates,4.3,55,+91 11 4020 020
Sai & Mehta | Advocates & IP Attorneys,https://www.google.com/maps/place/Sai+%26+Mehta+%7C+Advocates+%26+IP+Attorneys/data=!4m7!3m6!1s0x390d01584ba3395d:0xff8208572a5d209f!8m2!3d28.7114314!4d77.1141687!16s%2Fg%2F11clt90gkg!19sChIJXTmjS1gBDTkRnyBdKlcIgv8?authuser=0&hl=en&rclk=1,http://www.saiandmehta.com/,,,"https://twitter.com/mehtaamit81, https://twitter.com/mehtaamit81, https://twitter.com/mehtaamit81, https://www.linkedin.com/in/amitmehta1/, https://twitter.com/mehtaamit81, https://www.linkedin.com/in/amitmehta1/, https://twitter.com/mehtaamit81, https://www.linkedin.com/in/amitmehta1/",4.8,183,+91 95999 25798
"KARAN S.THUKRAL, Advocate","https://www.google.com/maps/place/KARAN+S.THUKRAL,+Advocate/data=!4m7!3m6!1s0x390d0227fc0c21b3:0x38412b3b559d8fad!8m2!3d28.6785042!4d77.0969804!16s%2Fg%2F1thk73hy!19sChIJsyEM_CcCDTkRrY-dVTsrQTg?authuser=0&hl=en&rclk=1",http://karanthukral.com/,"infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com, infothukral@gmail.com","9999 00 9339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 9999009339, 110063, +91 9999 00 9339, +91 9821 86 8998, +15 0997 80 068","https://www.facebook.com/Karansthukral, https://twitter.com/karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://www.youtube.com/watch?v=D8Hzi-id_Jo, https://www.youtube.com/watch?v=oTAvWVeTehw, https://www.youtube.com/watch?v=cBYhr7-8uVk, https://www.youtube.com/watch?v=OiK9bMSZUqM&t=1s, https://www.youtube.com/watch?v=3jPdBizjCxQ&t=297s, https://www.youtube.com/watch?v=Y6UmB1xhhBU&feature=emb_logo, https://www.youtube.com/watch?v=q17bL1ko948&feature=youtu, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in, https://twitter.com/karansthukral, https://www.facebook.com/Karansthukral, https://www.linkedin.com/in/karansthukral/?originalSubdomain=in",4.5,404,+91 99990 09339
INDIALAW LLP,https://www.google.com/maps/place/INDIALAW+LLP/data=!4m7!3m6!1s0x3bae1688afff1197:0xec5e5e11f9a6d5e0!8m2!3d12.9818305!4d77.6003408!16s%2Fg%2F11cmsv29kt!19sChIJlxH_r4gWrjsR4NWm-RFeXuw?authuser=0&hl=en&rclk=1,https://www.indialaw.in/,,"400 001, 022-69247400","https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.instagram.com/indialawllp, http://www.linkedin.com/company/indialaw, https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.linkedin.com/company/indialaw, https://www.instagram.com/indialawllp",4.8,4,+91 80 4167 244
Siddharth Jain & Co. - Advocates & Legal Consultants,https://www.google.com/maps/place/Siddharth+Jain+%26+Co.+-+Advocates+%26+Legal+Consultants/data=!4m7!3m6!1s0x390ce3db5baf6b3f:0xeab80ecfe69c2fd9!8m2!3d28.5558075!4d77.2590747!16s%2Fg%2F11hcyz_5sy!19sChIJP2uvW9vjDDkR2S-c5s8OuOo?authuser=0&hl=en&rclk=1,http://www.sjcolegal.com/,,"110065, 7683019400, 7709690578, 9795084084",,4.9,705,+91 77096 90578
